name	order
overall	13,18,20,1,48,50,44,39,51,53,34,59,19,57,54,55,25,10,42,11,8,33,32,5,35,47,38,36,2,49,16,58,23,52,29,30,14,41,45,37,56,43,40,31,17,9,46,28,7,4,12,6,15,26,3,21,22,24,27,60
lineage	13,20,1,50,48,44,18,59,34,51,53,39,19,16,8,55,57,25,54,10,47,5,38,32,33,42,11,35,2,49,36,58,23,52,29,30,14,41,45,37,56,43,40,31,17,9,46,28,7
NK_T	13,20,1,48,44,50,59,34,53,51,39,19,18
Mono_mac	16,8,55,57,25,54,10,47,5,38,32,33,42,11,35,2,49,36,58,23,52,29,30,14
Mono_mac_modules	16,8,55,57,25,54,10,47,5,38,32,33,42,11,35,2,49,36,58,23
cDC	52,29,30,14,41,45
pDC	37
B&Plasma	56,43,40,31,17,9,46,28
mast	7
epithelial_fibroblast_doublet	4,12,6,15,26,3,21,22,24,27,60

