RP11-34P13.3	ENSG00000243485
FAM138A	ENSG00000237613
OR4F5	ENSG00000186092
RP11-34P13.7	ENSG00000238009
RP11-34P13.8	ENSG00000239945
RP11-34P13.14	ENSG00000239906
RP11-34P13.9	ENSG00000241599
FO538757.3	ENSG00000279928
FO538757.2	ENSG00000279457
AP006222.2	ENSG00000228463
RP5-857K21.15	ENSG00000236743
RP4-669L17.2	ENSG00000236601
RP4-669L17.10	ENSG00000237094
OR4F29	ENSG00000278566
RP5-857K21.4	ENSG00000230021
RP5-857K21.2	ENSG00000235146
OR4F16	ENSG00000273547
RP11-206L10.4	ENSG00000229905
RP11-206L10.9	ENSG00000237491
FAM87B	ENSG00000177757
LINC00115	ENSG00000225880
FAM41C	ENSG00000230368
RP11-54O7.16	ENSG00000272438
RP11-54O7.1	ENSG00000230699
RP11-54O7.2	ENSG00000241180
RP11-54O7.3	ENSG00000223764
SAMD11	ENSG00000187634
NOC2L	ENSG00000188976
KLHL17	ENSG00000187961
PLEKHN1	ENSG00000187583
PERM1	ENSG00000187642
RP11-54O7.17	ENSG00000272512
HES4	ENSG00000188290
ISG15	ENSG00000187608
RP11-54O7.11	ENSG00000224969
AGRN	ENSG00000188157
RP11-54O7.18	ENSG00000273443
RNF223	ENSG00000237330
C1orf159	ENSG00000131591
LINC01342	ENSG00000223823
RP11-465B22.8	ENSG00000272141
TTLL10-AS1	ENSG00000205231
TTLL10	ENSG00000162571
TNFRSF18	ENSG00000186891
TNFRSF4	ENSG00000186827
SDF4	ENSG00000078808
B3GALT6	ENSG00000176022
FAM132A	ENSG00000184163
RP5-902P8.12	ENSG00000260179
UBE2J2	ENSG00000160087
RP5-902P8.10	ENSG00000230415
SCNN1D	ENSG00000162572
ACAP3	ENSG00000131584
PUSL1	ENSG00000169972
CPSF3L	ENSG00000127054
CPTP	ENSG00000224051
TAS1R3	ENSG00000169962
DVL1	ENSG00000107404
MXRA8	ENSG00000162576
AURKAIP1	ENSG00000175756
CCNL2	ENSG00000221978
MRPL20	ENSG00000242485
RP4-758J18.13	ENSG00000272455
ANKRD65	ENSG00000235098
RP4-758J18.7	ENSG00000225905
TMEM88B	ENSG00000205116
RP4-758J18.10	ENSG00000225285
VWA1	ENSG00000179403
ATAD3C	ENSG00000215915
ATAD3B	ENSG00000160072
ATAD3A	ENSG00000197785
TMEM240	ENSG00000205090
SSU72	ENSG00000160075
RP5-832C2.5	ENSG00000215014
AL645728.1	ENSG00000279244
C1orf233	ENSG00000228594
RP11-345P4.9	ENSG00000272106
MIB2	ENSG00000197530
MMP23B	ENSG00000189409
CDK11B	ENSG00000248333
RP11-345P4.10	ENSG00000272004
SLC35E2B	ENSG00000189339
RP11-345P4.7	ENSG00000269737
CDK11A	ENSG00000008128
SLC35E2	ENSG00000215790
NADK	ENSG00000008130
GNB1	ENSG00000078369
RP1-140A9.1	ENSG00000231050
CALML6	ENSG00000169885
TMEM52	ENSG00000178821
CFAP74	ENSG00000142609
RP11-547D24.1	ENSG00000233542
GABRD	ENSG00000187730
RP11-547D24.3	ENSG00000226969
PRKCZ	ENSG00000067606
RP5-892K4.1	ENSG00000271806
RP11-181G12.2	ENSG00000182873
FAAP20	ENSG00000162585
RP11-181G12.4	ENSG00000234396
SKI	ENSG00000157933
MORN1	ENSG00000116151
RER1	ENSG00000157916
PEX10	ENSG00000157911
PLCH2	ENSG00000149527
RP3-395M20.2	ENSG00000224387
RP3-395M20.3	ENSG00000229393
PANK4	ENSG00000157881
HES5	ENSG00000197921
RP3-395M20.12	ENSG00000272449
RP3-395M20.8	ENSG00000238164
TNFRSF14	ENSG00000157873
RP3-395M20.9	ENSG00000228037
FAM213B	ENSG00000157870
MMEL1	ENSG00000142606
RP13-436F16.1	ENSG00000237058
TTC34	ENSG00000215912
RP11-740P5.2	ENSG00000233234
RP11-740P5.3	ENSG00000231630
ACTRT2	ENSG00000169717
LINC00982	ENSG00000177133
PRDM16	ENSG00000142611
RP1-163G9.2	ENSG00000226286
RP11-22L13.1	ENSG00000272235
ARHGEF16	ENSG00000130762
RP11-168F9.2	ENSG00000272088
MEGF6	ENSG00000162591
RP11-46F15.2	ENSG00000238260
TPRG1L	ENSG00000158109
WRAP73	ENSG00000116213
TP73	ENSG00000078900
RP5-1092A11.5	ENSG00000227589
RP5-1092A11.2	ENSG00000235131
TP73-AS1	ENSG00000227372
CCDC27	ENSG00000162592
SMIM1	ENSG00000235169
LRRC47	ENSG00000130764
RP1-286D6.5	ENSG00000272153
CEP104	ENSG00000116198
DFFB	ENSG00000169598
C1orf174	ENSG00000198912
LINC01134	ENSG00000236423
LINC01346	ENSG00000233304
RP13-614K11.2	ENSG00000226374
RP5-1166F10.1	ENSG00000235054
RP1-37J18.1	ENSG00000227169
RP1-37J18.2	ENSG00000232596
AJAP1	ENSG00000196581
RP11-542C10.1	ENSG00000231510
RP1-58B11.1	ENSG00000260972
RP11-154H17.1	ENSG00000236948
NPHP4	ENSG00000131697
KCNAB2	ENSG00000069424
CHD5	ENSG00000116254
RPL22	ENSG00000116251
RP1-120G22.11	ENSG00000226944
RNF207	ENSG00000158286
ICMT	ENSG00000116237
LINC00337	ENSG00000225077
HES3	ENSG00000173673
GPR153	ENSG00000158292
ACOT7	ENSG00000097021
RP1-202O8.3	ENSG00000271746
HES2	ENSG00000069812
ESPN	ENSG00000187017
RP1-202O8.2	ENSG00000231868
TNFRSF25	ENSG00000215788
PLEKHG5	ENSG00000171680
NOL9	ENSG00000162408
TAS1R1	ENSG00000173662
ZBTB48	ENSG00000204859
KLHL21	ENSG00000162413
PHF13	ENSG00000116273
THAP3	ENSG00000041988
DNAJC11	ENSG00000007923
RP11-242F24.1	ENSG00000228750
RP11-312B8.1	ENSG00000237436
CAMTA1	ENSG00000171735
RP11-334N17.1	ENSG00000237365
RP3-453P22.2	ENSG00000237728
RP4-549F15.1	ENSG00000225126
RP11-338N10.1	ENSG00000270171
RP11-338N10.2	ENSG00000270035
RP11-338N10.3	ENSG00000269978
VAMP3	ENSG00000049245
PER3	ENSG00000049246
RP3-467L1.4	ENSG00000236266
UTS2	ENSG00000049247
TNFRSF9	ENSG00000049249
PARK7	ENSG00000116288
ERRFI1	ENSG00000116285
RP11-431K24.1	ENSG00000238290
RP11-431K24.3	ENSG00000227634
RP11-431K24.4	ENSG00000233645
SLC45A1	ENSG00000162426
RERE	ENSG00000142599
RP5-1115A15.1	ENSG00000232912
RP4-633I8.4	ENSG00000228423
ENO1	ENSG00000074800
ENO1-AS1	ENSG00000230679
CA6	ENSG00000131686
SLC2A7	ENSG00000197241
SLC2A5	ENSG00000142583
GPR157	ENSG00000180758
MIR34AHG	ENSG00000228526
RP3-510D11.2	ENSG00000234546
RP3-510D11.4	ENSG00000281937
H6PD	ENSG00000049239
SPSB1	ENSG00000171621
RP13-392I16.1	ENSG00000235263
SLC25A33	ENSG00000171612
TMEM201	ENSG00000188807
PIK3CD	ENSG00000171608
PIK3CD-AS1	ENSG00000179840
PIK3CD-AS2	ENSG00000231789
CLSTN1	ENSG00000171603
AL357140.1	ENSG00000280113
CTNNBIP1	ENSG00000178585
RP11-84A14.5	ENSG00000223989
LZIC	ENSG00000162441
NMNAT1	ENSG00000173614
RBP7	ENSG00000162444
UBE4B	ENSG00000130939
KIF1B	ENSG00000054523
PGD	ENSG00000142657
RP4-736L20.3	ENSG00000271989
APITD1-CORT	ENSG00000251503
APITD1	ENSG00000175279
CORT	ENSG00000241563
DFFA	ENSG00000160049
RP5-1113E3.3	ENSG00000203469
PEX14	ENSG00000142655
CASZ1	ENSG00000130940
RP4-734G22.3	ENSG00000272078
C1orf127	ENSG00000175262
TARDBP	ENSG00000120948
RP4-635E18.9	ENSG00000277726
MASP2	ENSG00000009724
RP4-635E18.8	ENSG00000271895
SRM	ENSG00000116649
EXOSC10	ENSG00000171824
RP4-635E18.7	ENSG00000226849
RP4-635E18.6	ENSG00000230337
MTOR	ENSG00000198793
MTOR-AS1	ENSG00000225602
ANGPTL7	ENSG00000171819
UBIAD1	ENSG00000120942
PTCHD2	ENSG00000204624
RP1-69M21.2	ENSG00000235643
FBXO2	ENSG00000116661
FBXO44	ENSG00000132879
FBXO6	ENSG00000116663
MAD2L2	ENSG00000116670
DRAXIN	ENSG00000162490
AGTRAP	ENSG00000177674
C1orf167	ENSG00000215910
RP11-56N19.5	ENSG00000177553
MTHFR	ENSG00000177000
CLCN6	ENSG00000011021
NPPA-AS1	ENSG00000242349
NPPA	ENSG00000175206
NPPB	ENSG00000120937
KIAA2013	ENSG00000116685
PLOD1	ENSG00000083444
MFN2	ENSG00000116688
MIIP	ENSG00000116691
TNFRSF8	ENSG00000120949
TNFRSF1B	ENSG00000028137
VPS13D	ENSG00000048707
RP5-888M10.2	ENSG00000229484
DHRS3	ENSG00000162496
RP11-474O21.5	ENSG00000272482
AADACL4	ENSG00000204518
AADACL3	ENSG00000188984
C1orf158	ENSG00000157330
PRAMEF12	ENSG00000116726
PRAMEF1	ENSG00000116721
RP5-845O24.8	ENSG00000228338
PRAMEF11	ENSG00000239810
HNRNPCL1	ENSG00000179172
PRAMEF2	ENSG00000120952
PRAMEF4	ENSG00000243073
PRAMEF10	ENSG00000187545
PRAMEF7	ENSG00000204510
PRAMEF6	ENSG00000232423
PRAMEF27	ENSG00000274764
PRAMEF26	ENSG00000280267
PRAMEF25	ENSG00000229571
HNRNPCL3	ENSG00000277058
HNRNPCL2	ENSG00000275774
RP13-221M14.2	ENSG00000233336
HNRNPCL4	ENSG00000179412
PRAMEF9	ENSG00000204505
PRAMEF18	ENSG00000279804
PRAMEF5	ENSG00000270601
PRAMEF8	ENSG00000182330
PRAMEF15	ENSG00000204501
RP11-219C24.10	ENSG00000228229
PRAMEF14	ENSG00000204481
PRAMEF19	ENSG00000204480
PRAMEF17	ENSG00000204479
PRAMEF20	ENSG00000204478
LRRC38	ENSG00000162494
RP4-597A16.2	ENSG00000259961
PDPN	ENSG00000162493
CTA-520D8.2	ENSG00000237445
PRDM2	ENSG00000116731
RP11-344F13.1	ENSG00000231606
RP4-704D23.1	ENSG00000234593
KAZN	ENSG00000189337
TMEM51-AS1	ENSG00000175147
TMEM51	ENSG00000171729
C1orf195	ENSG00000204464
FHAD1	ENSG00000142621
RP3-467K16.2	ENSG00000233485
RP3-467K16.7	ENSG00000236045
RP3-467K16.4	ENSG00000228140
EFHD2	ENSG00000142634
CTRC	ENSG00000162438
CELA2A	ENSG00000142615
CELA2B	ENSG00000215704
CASP9	ENSG00000132906
DNAJC16	ENSG00000116138
RP4-680D5.8	ENSG00000272510
AGMAT	ENSG00000116771
RP4-680D5.2	ENSG00000237301
DDI2	ENSG00000197312
RSC1A1	ENSG00000215695
RP4-680D5.9	ENSG00000271742
PLEKHM2	ENSG00000116786
RP11-288I21.1	ENSG00000237938
SLC25A34	ENSG00000162461
RP11-169K16.4	ENSG00000224459
TMEM82	ENSG00000162460
FBLIM1	ENSG00000162458
UQCRHL	ENSG00000233954
FLJ37453	ENSG00000179743
