"","l2fc","fg_exprs","bg_exprs"
"RP11-34P13.3",0,0,0
"FAM138A",0,0,0
"OR4F5",0,0,0
"RP11-34P13.7",-0.0952225553431061,1.79259933431525e-07,2.59721056122777e-07
"RP11-34P13.8",0,0,0
"RP11-34P13.14",0,0,0
"RP11-34P13.9",0.0107356821482897,7.46916389298021e-09,0
"FO538757.3",0,0,0
"FO538757.2",-1.04215485222023,2.33224642558307e-05,4.90872796072048e-05
"AP006222.2",0.0982966066412429,1.10991775449686e-05,1.03022685595368e-05
"RP5-857K21.15",0,0,0
"RP4-669L17.2",-0.0557580417856923,3.7345819464901e-09,4.32868426871295e-08
"RP4-669L17.10",-0.265757743263491,2.27809498735896e-07,4.76155269558424e-07
"OR4F29",0,0,0
"RP5-857K21.4",0.052896924871278,3.7345819464901e-08,0
"RP5-857K21.2",-0.119786013377386,0,8.65736853742589e-08
"OR4F16",0,0,0
"RP11-206L10.4",0.00537782712473051,3.7345819464901e-09,0
"RP11-206L10.9",-0.522918855399175,3.03994970444294e-06,4.80483953827137e-06
"FAM87B",0.111320649676591,1.26975786180664e-07,4.32868426871295e-08
"LINC00115",0.319220073169831,2.08389672614148e-06,1.4717526513624e-06
"FAM41C",0.221495907851792,3.95118769938653e-06,3.24651320153471e-06
"RP11-54O7.16",0,0,0
"RP11-54O7.1",0.00174011561813072,6.94632242047159e-07,6.92589482994071e-07
"RP11-54O7.2",0.0213920654394794,1.49383277859604e-08,0
"RP11-54O7.3",-0.458576826704767,1.12037458394703e-08,3.89581584184165e-07
"SAMD11",-0.919668737952329,4.66822743311263e-07,1.77476055017231e-06
"NOC2L",-0.556111589538318,2.37332682699446e-05,3.53653504753848e-05
"KLHL17",-0.500121749345743,7.170397337261e-07,1.42846580867527e-06
"PLEKHN1",-0.425859416849221,2.99886930303155e-06,4.37197111140007e-06
"PERM1",-0.828648750764855,2.61420736254307e-08,8.2245001105546e-07
"RP11-54O7.17",-0.32303389659604,2.83828227933248e-07,6.06015797619812e-07
"HES4",-2.50318592056443,8.36919814208432e-06,5.21173585953039e-05
"ISG15",-0.384547889160753,0.000337419478865381,0.000440789919083039
"RP11-54O7.11",0.0632474913740041,4.48149833578812e-08,0
"AGRN",-3.05191559270504,3.8130081673664e-06,3.89148715757294e-05
"RP11-54O7.18",-0.0291655561431037,2.24074916789406e-08,4.32868426871295e-08
"RNF223",-1.80255314546103,5.60187291973515e-08,2.68378424660203e-06
"C1orf159",-0.692681927171486,2.13618087339234e-06,4.06896321259017e-06
"LINC01342",-0.119786013377386,0,8.65736853742589e-08
"RP11-465B22.8",-2.47310613349329,2.98766555719208e-08,4.71826585289711e-06
"TTLL10-AS1",0.0989006323577273,7.0957056983312e-08,0
"TTLL10",-1.9218013120188,8.29077192120803e-07,5.93029744813674e-06
"TNFRSF18",1.88645739953039,4.79893780123978e-05,1.22501764804576e-05
"TNFRSF4",3.36378581462312,4.5834524229273e-05,3.54952110034462e-06
"SDF4",-0.411287980436294,6.70320113575509e-05,8.94739038342966e-05
"B3GALT6",-1.031932849649,4.92964816936694e-06,1.11247185705923e-05
"FAM132A",-0.296806810104396,2.01667425110466e-07,4.76155269558424e-07
"RP5-902P8.12",0.10392276697376,7.46916389298021e-08,0
"UBE2J2",-0.766064069151028,2.81214020570705e-05,4.85245506522721e-05
"RP5-902P8.10",-0.0622298036445417,8.21608028227823e-08,1.29860528061388e-07
"SCNN1D",-0.887225165809235,2.42747826521857e-07,1.29860528061388e-06
"ACAP3",-0.372478077634474,6.99487198577596e-06,9.34995802041996e-06
